час_мадрид,цикл,подія,регістр,група,назва,попереднє_raw,raw,змінені_біти,значення,одиниця,кнопка_lcd,сторінка_lcd,сценарій_демо,нотатка
2026-07-27T21:14:41.049+02:00,6,КНОПКА_LCD,,,,,,,,,UP,P9,demoGridHome,
2026-07-27T21:14:41.478+02:00,6,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
2026-07-27T21:14:42.233+02:00,6,КНОПКА_LCD,,,,,,,,,DOWN,P1,demoGridHome,
2026-07-27T21:14:42.908+02:00,6,КНОПКА_LCD,,,,,,,,,ENTER,P1,demoGridHome,
2026-07-27T21:14:43.349+02:00,6,КНОПКА_LCD,,,,,,,,,UP,P9,demoGridHome,
2026-07-27T21:14:43.619+02:00,6,КНОПКА_LCD,,,,,,,,,UP,P8,demoGridHome,
2026-07-27T21:14:43.895+02:00,6,КНОПКА_LCD,,,,,,,,,UP,P7,demoGridHome,
2026-07-27T21:14:44.050+02:00,6,КНОПКА_LCD,,,,,,,,,UP,P6,demoGridHome,
2026-07-27T21:14:44.215+02:00,6,КНОПКА_LCD,,,,,,,,,UP,P5,demoGridHome,
2026-07-27T21:14:44.373+02:00,6,КНОПКА_LCD,,,,,,,,,UP,P4,demoGridHome,
2026-07-27T21:14:44.529+02:00,6,КНОПКА_LCD,,,,,,,,,UP,P3,demoGridHome,
2026-07-27T21:14:44.696+02:00,6,КНОПКА_LCD,,,,,,,,,UP,P2,demoGridHome,
2026-07-27T21:14:44.864+02:00,6,КНОПКА_LCD,,,,,,,,,UP,P1,demoGridHome,
2026-07-27T21:14:45.034+02:00,7,КНОПКА_LCD,,,,,,,,,UP,P9,demoGridHome,
2026-07-27T21:14:45.506+02:00,7,КНОПКА_LCD,,,,,,,,,DOWN,P1,demoGridHome,
2026-07-27T21:14:45.890+02:00,7,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
2026-07-27T21:14:46.048+02:00,7,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
2026-07-27T21:14:46.205+02:00,7,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
2026-07-27T21:14:46.524+02:00,7,КНОПКА_LCD,,,,,,,,,DOWN,P1,demoGridHome,
2026-07-27T21:14:46.678+02:00,7,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
2026-07-27T21:14:47.104+02:00,7,КНОПКА_LCD,,,,,,,,,ENTER,LCD,demoGridHome,
2026-07-27T21:14:47.264+02:00,7,КНОПКА_LCD,,,,,,,,,ENTER,LCD,demoGridHome,
2026-07-27T21:14:47.425+02:00,7,КНОПКА_LCD,,,,,,,,,ENTER,LCD,demoGridHome,
2026-07-27T21:14:48.115+02:00,7,КНОПКА_LCD,,,,,,,,,DOWN,P1,demoGridHome,
2026-07-27T21:14:48.452+02:00,7,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
2026-07-27T21:14:48.778+02:00,7,КНОПКА_LCD,,,,,,,,,UP,P9,demoGridHome,
2026-07-27T21:14:49.119+02:00,7,КНОПКА_LCD,,,,,,,,,ENTER,P9,demoGridHome,
2026-07-27T21:14:49.757+02:00,7,КНОПКА_LCD,,,,,,,,,DOWN,P1,demoGridHome,
2026-07-27T21:14:50.061+02:00,7,КНОПКА_LCD,,,,,,,,,ESC,LCD,demoGridHome,
2026-07-27T21:14:50.436+02:00,7,КНОПКА_LCD,,,,,,,,,UP,P9,demoGridHome,
